Name,Alternative name,Alternative name,WHO Region,continent,Country Code,Cases - cumulative total,Cases - cumulative total per 100000 population,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Government Type,Capital City,Latitude of Capital,Longitude of Capital,GDP - real growth rate,GDP - per capita (PPP),Industrial production growth rate,Unemployment rate,Distribution of family income - Gini index,Taxes and other revenues,Budget surplus (+) or deficit (-),Public debt,Inflation rate (consumer prices),Central bank discount rate,Commercial bank prime lending rate,Military expenditures,Median age,Population growth rate,Birth rate,Death rate,Net migration rate,Maternal mortality rate,Infant mortality rate,Life expectancy at birth,Total fertility rate,Obesity - adult prevalence rate,Education expenditures,"Unemployment, youth ages 15-24",year,life_exp,hdi_index,co2_consump,gdp,services,happiness_score,gdp_per_capita,cpi_corruption_score,health,freedom,generosity,government_trust,dystopia_residual,Year,social_support,abstainers lifetime Both sexes,abstainers lifetime Male,abstainers lifetime Female,abstainers 12m Both sexes,abstainers 12m Male,abstainers 12m Female,consumers 12m,consumers 12m Male,consumers 12m Female,heavy both,heavy male,heavy female,alcohol death both,alcohol death Male,alcohol death female,alcohol cancer death Male,alcohol cancer death Female,alcohol liver cirrhosis death Male,alcohol liver cirrhosis death Female,alcohol traffic death Male,alcohol traffic death Female,Alcohol-attributable Years of Life Lost (YLL) score,consumption Both sexes,consumption Male,consumption Female,consumption drinkers Both sexes,consumption drinkers Male,consumption drinkers Female
New Zealand,,,Western Pacific,Oceania,NZ,1918917,39793.121,2212,45.871,parliamentary democracy and a Commonwealth realm,Wellington,41 18 S,174 47 E,3,"$39,000 ",1.8,4.7,36.2,36.8,1.6,31.7,1.9,1.75,5.1,1.16,38.1,0.77,13.1,7.6,2.2,9,4.4,81.4,2.01,30.8,6.4,12.7,2018,81.8,0.928,7.34,40300,74.3,7.299600124,1.242317915,88,1.008138299,0.646789908,0.325726211,0.461268276,2.128108025,2020,1.48721838,10.6,5.1,15.8,25.4,14.9,35.2,74.6,85.1,64.8,35.2 [31.1-39.4],53.1 [47.9-58],18.3 [15.1-21.8],4.2,6.3,2.1,6.6,3.1,74.5,61.2,46.6,28.2,2,10.6 [8.6-11.5],16.4 [13.5-17.9],5.2 [4-5.4],13.7 [14.5-],19.4 [20.5-],6.9 [7.2-]
Nicaragua,,,Americas,North America,NI,15250,230.204,245,3.698,republic,Managua,12 08 N,86 15 W,4.9,"$5,900 ",3.5,6.4,47.1,28,-2,33.3,3.9,3,10.8,0.61,26.2,0.97,17.5,5.2,-2.6,198,17.7,73.7,1.87,23.7,4.3,8.5,2018,75.2,0.659,0.862,2090,52.9,6.13710022,0.620033145,22,0.803093255,0.560117304,0.212871477,0.174084574,2.496081114,2020,1.27081275,31.6,18.7,43.8,67.5,55.1,79.2,32.5,44.9,20.8,12.1 [10.6-13.7],21.3 [18.8-23.8],3.6 [2.9-4.3],7.7,12.2,2.1,4.1,1.6,61,33,29.2,16.1,4,5.2 [4.1-6.5],8.5 [6.8-10.7],2.1 [1.6-2.5],15.1 [16.4-],19.2 [20.8-],7 [7.6-]
Niger,,,Africa,Africa,NE,9443,39.01,314,1.297,republic,Niamey,13 31 N,2 07 E,4.9,"$1,200 ",6,0.3,34,21.4,-5,45.3,2.4,4.25,5.4,2.45,15.5,3.16,43.6,11.5,-0.5,509,79.4,56.3,6.35,5.5,3.5,0.7,2018,62,0.391,0.103,514,20.4,4.909599781,0.108330332,32,0.298816353,0.435311615,0.208176896,0.137554765,3.017630577,2020,0.703800142,75.2,66.2,84.2,79.8,71.2,88.3,20.2,28.8,11.7,6.2 [5.5-7],11 [9.7-12.3],1.4 [1.2-1.7],1,1.4,0.4,1.2,0.3,11.2,8.7,12.3,9.6,2,0.7 [0.3-1.3],1.2 [0.5-2.2],0.2 [0.1-0.4],2.3 [2.7-],2.8 [3.3-],1.1 [1.2-]
Nigeria,,,Africa,Africa,NG,266283,129.176,3155,1.531,federal republic,Abuja,9 05 N,7 32 E,0.8,"$5,900 ",2.2,16.5,48.8,3.4,-1.8,21.8,16.5,4.25,17.58,0.51,18.3,2.54,35.2,9.6,-0.2,917,63.3,59.3,4.85,8.9,unknown,12.4,2018,63.8,0.534,0.65,2510,52.2,4.724100113,0.645901859,25,0.167835936,0.435079455,0.221328124,0.047589935,2.219635487,2020,0.986717939,43.1,30.4,56.3,47.4,33,62.3,52.6,67,37.7,27.3 [25-29.7],43.1 [39.9-46],11.3 [9.7-13],7.9,12.1,3.5,6.6,5.1,76.3,57,41.5,32.1,5,10.8 [8.8-12.9],17.2 [13.9-20.4],4.4 [3.6-5.3],24.3 [26.4-],31.4 [34.1-],11.7 [12.7-]
Niue,,,Western Pacific,,,124,7663.782,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.3,26.8,55.4,66.8,54.5,78.9,33.2,45.5,21.1,23.2 [22-24.3],36.2 [34.8-37.5],10.4 [9.4-11.4],No data,No data,No data,No data,No data,No data,No data,---,No data,No data,10.7 [9-12.3],17 [14.3-19.5],4.2 [3.6-5],28.1 [29.9-],34.6 [36.8-],12.8 [13.6-]
North Macedonia,Macedonia,,Europe,Europe,MK,344710,16545.709,9568,459.254,parliamentary democracy,Skopje,42 00 N,21 26 E,0,"$14,900 ",-7.8,22.4,33.7,29,-2.7,39.3,1.4,3.25,6.21,0.99,38.2,0.19,10.8,9.6,0.7,7,7.8,75.9,1.49,22.4,unknown,46.7,2018,74.3,0.77,3.49,5170,52.9,,,,,,,,,,,23.1,12.6,33.4,46.3,32.3,60.1,53.7,67.7,39.9,26.5 [23.9-29.2],41.8 [38.2-45.2],11.1 [9.4-12.9],4.3,6.9,1.4,6.5,2.3,72,47.8,38.8,27.7,2,6.2 [5.4-8.3],9.9 [8.7-13.3],2.4 [2.1-3.4],13.9 [15.5-],18.5 [20.6-],6.5 [7.2-]
Northern Mariana Islands (Commonwealth of the),,,Western Pacific,,,13171,22883.403,40,69.496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,,,Europe,Europe,NO,1468876,27365.703,4384,81.676,constitutional monarchy,Oslo,59 55 N,10 45 E,1.9,"$72,100 ",1.5,4.2,26.8,54.4,4.4,36.5,1.9,6.25,2.89,1.8,39.3,0.94,12.2,8,5.3,2,2.5,82,1.85,23.1,8,10.4,2018,82.8,0.956,8.31,76000,78.4,7.487999916,1.42420733,84,1.008071899,0.670200884,0.287985086,0.434100568,2.168266296,2020,1.495172501,9.3,4.5,14.2,21,12,30.2,79,88,69.8,35.4 [32.1-38.7],52.2 [48.1-56.2],17.9 [15.5-20.6],3.4,5.4,1.4,5.1,2.4,63.4,54.7,43.9,28.8,2,7.4 [5.6-7.8],11.2 [8.4-11.8],3.6 [2.7-3.9],9.7 [10.3-],13.4 [14.2-],4.7 [5-]
"occupied Palestinian territory, including east Jerusalem",Palestine,,Eastern Mediterranean,,,703036,13781.199,5708,111.891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,74.7,0.708,0.661,3420,62.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oman,,,Eastern Mediterranean,Asia,OM,399119,7815.708,4628,90.627,monarchy,Muscat,23 37 N,58 35 E,-0.9,"$46,000 ",-3,unknown,unknown,31.3,-13.8,46.9,1.6,2,5.2,8.17,25.8,2,23.7,3.3,-0.4,19,12.4,75.9,2.8,27,6.8,13.7,2018,73.6,0.813,13.9,15100,64.3,,,,,,,,,,,85.3,81.5,94.2,91.7,89.6,96.7,8.3,10.4,3.3,2.1 [1.7-2.6],2.9 [2.3-3.6],0.3 [0.2-0.4],1.6,2,0.7,1.9,0.3,17,8.2,5.4,2.6,1,0.8 [0.5-1.3],1 [0.5-1.5],0.2 [0.3-0.8],9.2 [10.4-],10 [11.2-],3.6 [4-]
Pakistan,,,Eastern Mediterranean,Asia,PK,1575146,713.083,30631,13.867,federal republic,Islamabad,33 41 N,73 03 E,5.4,"$5,400 ",5.4,6,30.7,15.4,-5.8,67,4.1,5.75,6.98,4.03,24.1,1.41,21.6,6.3,-1.2,140,50.4,68.4,2.55,8.6,2.9,7.8,2018,65.5,0.552,1.05,1500,37.6,5.69329977,0.616799474,31,0.469933242,0.405421734,0.228705063,0.122592121,2.976876736,2020,0.872979581,96.5,94.7,98.4,98.8,98.2,99.4,1.2,1.8,0.6,0.1 [0-0.1],0.1 [0.1-0.2],0 [0-0],0.6,0.8,0.2,0.9,0.1,12.8,3.2,1,0.7,1,0.3 [0.1-0.8],0.6 [0.1-1.3],0.1 [0-0.2],20.3 [24.1-],23.8 [28.3-],8.8 [10.4-]
Palau,,,Western Pacific,Asia,PW,5785,31975.459,7,38.691,constitutional government,Melekeok,7 29 N,134 38 E,-3.7,"$14,700 ",unknown,1.7,unknown,66.1,8.8,24.1,0.9,unknown,unknown,unknown,33.6,0.4,11.3,8.2,0.8,unknown,10.3,73.6,1.7,55.3,unknown,unknown,,,,,,,,,,,,,,,,,.,.,.,No data,No data,No data,.,.,.,.,.,.,No data,No data,No data,No data,No data,No data,No data,---,No data,No data,,,,,,
Panama,,,Americas,North America,PA,995726,23077.167,8519,197.438,constitutional democracy,Panama City,8 58 N,79 32 W,5.4,"$25,400 ",6.3,6,50.7,20.1,-1.6,37.8,0.9,unknown,7.52,unknown,29.5,1.24,17.6,5,-0.2,52,9.6,78.9,2.28,22.7,3.2,10.8,2018,79.9,0.812,2.62,14900,67,6.304800034,1.097667813,35,0.878546536,0.57984978,0.097207308,0.054230526,2.221176147,2020,1.376149297,19.5,10.4,28.5,52.3,38.5,66,47.7,61.5,34,21.5 [19.1-23.9],34.9 [31.5-38.3],8 [6.6-9.5],5.3,8.2,1.3,4.6,1.6,67,41.5,37.1,26.6,3,8 [6.6-9.6],12.6 [10.3-15.2],3.4 [2.8-4.2],16.2 [17.2-],21 [22.3-],7.5 [8-]
Papua New Guinea,,,Western Pacific,Oceania,PG,46146,515.769,668,7.466,constitutional parliamentary democracy,Port Moresby,9 27 S,147 11 E,2.5,"$3,700 ",3.3,2.5,50.9,18.4,-4.8,36.9,5.4,14,8.4,0.27,23.4,1.67,23.3,6.6,0,145,35.3,67.5,2.97,21.3,unknown,3.6,2018,64.4,0.549,0.911,2750,30.1,,,,,,,,,,,67.6,54.8,80.7,86.3,80.1,92.7,13.7,19.9,7.3,7.8 [7.3-8.4],13.2 [12.4-14],2.3 [2-2.7],2.3,3.5,1,4.2,0.8,24.2,15.5,17.5,10.5,2,1.4 [0.9-2],2.3 [1.5-3.4],0.5 [0.3-0.7],7.7 [8.5-],9.2 [10.3-],3.4 [3.8-]
Paraguay,,,Americas,South America,PY,718164,10068.842,19621,275.091,constitutional republic,Asuncion,25 16 S,57 40 W,4.8,"$12,800 ",2,5.7,51.7,14.2,-1.1,19.5,3.6,5.5,17,0.93,28.7,1.17,16.6,4.8,-0.1,84,18.1,77.6,1.9,20.3,3.4,14.5,2018,76.5,0.727,1.07,5870,61.3,5.692100048,0.897990823,28,0.735869646,0.586510062,0.204299241,0.065077379,1.83412528,2020,1.36819756,24.7,13.9,35.7,64,51.6,76.8,36,48.4,23.2,17.2 [14.1-20.2],28.3 [23.8-32.4],5.7 [4.2-7.5],6.3,9.7,2.2,5.1,1.7,66.3,39.4,35.3,22.8,4,7.6 [6.6-9.4],11.9 [10.3-14.6],3.2 [2.8-4.1],19.1 [20.6-],23.9 [25.9-],8.8 [9.5-]
Peru,,,Americas,South America,PE,4229179,12826.634,217386,659.308,constitutional republic,Lima,12 03 S,77 03 W,2.5,"$13,500 ",2.7,6.9,45.3,27.1,-3.1,25.4,2.8,4.25,16.6,1.19,28.4,0.94,17.6,6.1,-2.1,88,17.8,74.2,2.1,19.7,3.9,14.7,2018,80,0.771,1.74,6570,56.8,5.796800137,0.91854918,38,0.824444175,0.513210058,0.091611817,0.02703266,2.213499546,2020,1.208405972,8.8,4.2,13.3,46.8,32.9,60.4,53.2,67.1,39.6,26.3 [21.7-30.8],41.6 [35.3-47.4],11 [8.1-14.5],6.9,10.4,2.7,3.2,1.5,60.1,40.3,38.6,26.3,4,6.4 [5.3-7.6],9.8 [8.1-11.7],3.1 [2.5-3.6],11.7 [12.5-],15.3 [16.4-],5.5 [5.9-]
Philippines,,,Western Pacific,Asia,PH,4035487,3682.649,64620,58.97,republic,Manila,14 36 N,120 58 E,6.7,"$8,400 ",7.2,5.7,44.4,15.6,-2.2,39.9,2.9,3.56,5.63,1.13,23.7,1.55,23.4,6.1,-1.9,121,20.9,69.6,2.99,6.4,2.7,7.5,2018,71.6,0.711,1.27,3500,56.6,6.006000042,0.775120676,34,0.602189481,0.621915162,0.129260212,0.130385727,2.501741886,2020,1.245381713,43.1,28.6,57.7,66.9,54.7,79,33.1,45.3,21,12.1 [11-13.3],20.8 [18.9-22.7],3.4 [3-3.9],5.2,7.7,1.8,6.3,2.1,66,37.1,29.4,18.9,4,6.9 [5.4-8.3],11 [8.6-13.2],2.8 [2.2-3.4],19 [20.7-],23.7 [25.9-],8.7 [9.5-]
Pitcairn Islands,,,Western Pacific,,,4,8000,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,,,Europe,Europe,PL,6352755,16736.213,118319,311.709,republic,Warsaw,52 15 N,21 00 E,4.7,"$29,600 ",7.5,4.9,30.8,39.5,-1.7,50.6,2,1.5,4.8,2,41.1,-0.16,9.3,10.5,-0.4,2,4.4,77.9,1.36,23.1,4.6,14.8,2018,78,0.877,9.07,14300,58.6,6.186299801,1.16922915,56,0.868038476,0.557903528,0.063374244,0.160541251,2.056797981,2020,1.310399771,13.5,6.5,19.9,32,19.3,43.6,68,80.7,56.4,38.9 [35.7-42],57.1 [53.4-60.5],21 [18.2-23.9],6.9,10.6,2.9,8.2,2.9,78.1,62.2,48.1,36,4,11.7 [10.7-14.7],18.4 [17.1-23.4],5.6 [4.9-6.8],16.4 [17.5-],22.9 [24.4-],7.9 [8.5-]
Portugal,,,Europe,Europe,PT,5536455,53773.348,25345,246.166,republic; parliamentary democracy,Lisbon,38 43 N,9 08 W,2.7,"$30,500 ",3.5,8.9,33.9,42.9,-3,125.7,1.6,0,3.21,1.52,43.7,-0.27,8.2,10.6,-0.2,8,2.6,80.9,1.39,20.8,4.9,23.9,2018,81.7,0.86,4.97,21000,69.1,5.910900116,1.168800831,61,0.979315281,0.589895189,0.053036947,0.027733466,1.752558708,2020,1.339530349,12.6,6,18.4,30.8,18.4,41.7,69.2,81.6,58.3,31.3 [28.8-33.8],48.6 [45.3-51.8],15.2 [13.4-17.2],5.9,9.6,2.2,9.8,4.2,78.8,63,43,30.2,3,12 [10.9-14.9],19.4 [18-24.7],5.6 [4.6-6.4],16.5 [17.7-],23.5 [25.2-],8.2 [8.7-]
Puerto Rico,,,Americas,,,1008364,35246.97,5361,187.392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,,,Eastern Mediterranean,Asia,QA,478418,16605.665,685,23.776,emirate,Doha,25 17 N,51 32 E,1.6,"$124,100 ",3,8.9,41.1,26.4,-5.8,53.8,0.4,5,4.95,unknown,33.4,1.95,9.5,1.6,11.5,9,6,79,1.89,35.1,2.9,0.5,2018,76.1,0.845,38,59800,44.5,,,,,,,,,,,44.9,37.5,68.2,54.4,47.9,74.8,45.6,52.1,25.2,20.5 [15.8-25.3],25.6 [19.9-31.3],4.6 [3.1-6.6],6.9,8.3,1.3,2.2,0.6,20.8,18.9,30.1,20.4,2,1.6 [1.1-2.2],1.9 [1.1-2.3],0.4 [0.8-2],5.7 [6.2-],6.2 [6.8-],2.2 [2.4-]
R?union,,,Africa,,,480323,53648.672,902,100.747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Republic of Korea,"Korea, South",South Korea,Western Pacific,Asia,KR,27098734,52855.792,30506,59.502,republic,Seoul,37 33 N,126 59 E,3.1,"$39,500 ",4.6,3.7,35.7,23.2,1.4,39.5,1.9,1.5,3.48,2.62,42.3,0.44,8.3,6.3,2.4,11,3,82.5,1.27,4.7,5.3,10.4,2018,82.9,0.914,12.9,31000,69.8,,,,,,,,,,,7.1,3.3,10.8,36.1,23,48.8,63.9,77,51.2,33 [28.3-37.6],49.9 [43.9-55.3],15.7 [12.3-19.6],7.6,11.8,2.6,8.3,3.1,74.5,56.3,38.5,24.8,2,9.7 [8-11.5],14.7 [12.1-17.3],4.8 [4-5.8],15.5 [16.4-],21 [22.3-],7.3 [7.7-]
Republic of Moldova,Moldova,,Europe,Europe,MD,594980,14749.268,11918,295.441,republic,Chisinau,47 00 N,28 51 E,4.5,"$6,700 ",3,4.1,26.8,30.2,-0.6,31.5,6.6,6.5,10.36,0.35,37,-1.06,11.2,12.6,-9.3,19,11.7,71.3,1.57,18.9,6.7,7.4,2018,74,0.746,1.27,3260,55.9,5.607500076,0.707916796,34,0.713299453,0.389571488,0.174049184,0.014378744,2.370968342,2020,1.237312198,11.4,5.4,16.8,33.4,20.4,45.2,66.6,79.6,54.8,28.6 [24.7-32.7],45.1 [39.6-50.3],13 [10.4-16],26.1,26.9,25.3,14.5,6.7,57,61.5,52,49.7,5,11.4 [9.1-12.9],18.3 [14.9-21],5.3 [4-5.6],27.1 [29.8-],36.4 [40-],12.7 [14-]
Romania,,,Europe,Europe,RO,3296834,17056.556,67276,348.06,republic,Bucharest,44 26 N,26 06 E,6.9,"$24,600 ",5.5,4.9,27.3,29.3,-2.8,36.8,1.3,1.75,5.57,2.04,41.6,-0.35,8.7,12,-0.2,19,9.2,75.6,1.36,22.5,3.1,18.3,2018,75.5,0.823,3.8,10700,47.7,6.123700142,1.120401621,44,0.79229486,0.534852326,0.068181619,0.000829569,2.412749767,2020,1.1944381,13.5,6.5,19.9,32.8,19.9,44.5,67.2,80.1,55.5,39 [35.9-42.1],57.2 [53.6-60.5],21.1 [18.4-24],8.6,12,4.7,11.8,4.8,78.9,62.1,46.9,35.9,4,11.7 [9.9-13.4],18.6 [15.9-21.4],5.5 [4.4-6],17.6 [18.8-],24.6 [26.3-],8.5 [9.1-]
Russian Federation,Russia,,Europe,Europe,RU,21590828,14794.88,392002,268.615,federation,Moscow,55 45 N,37 36 E,1.5,"$27,900 ",-1,5.2,41.2,16.4,-1.4,15.5,3.7,10,10.55,3.93,39.8,-0.11,10.7,13.4,1.7,17,6.7,71.3,1.61,23.1,3.7,16.3,2018,73,0.823,11.7,11900,67.3,5.546000004,1.126999617,30,0.68044591,0.399499595,0.099041916,0.045699362,1.815716743,2020,1.378644109,27.2,24,30,41.9,38.6,44.6,58.1,61.4,55.4,38.8 [15.8-54.5],49.8 [24.5-59.6],29.1 [7.6-50.4],21.6,23.1,19.9,10.1,5.5,51.7,61.8,46.4,45.8,5,11.2 [9.3-13],19.1 [16.3-22.8],4.6 [3.4-4.9],20.8 [22.7-],28.5 [31.1-],9.8 [10.7-]
Rwanda,,,Africa,Africa,RW,132762,1025.014,1467,11.326,republic,Kigali,1 57 S,30 03 E,6.1,"$2,100 ",4.2,2.7,50.4,21.3,-4.3,40.5,4.8,7.75,17.17,1.23,19.2,2.3,29.8,6.3,-0.5,248,29.1,64.5,3.75,5.8,3.1,22.6,2018,68.3,0.54,0.0913,830,28.2,3.312299967,0.343242675,54,0.572383285,0.604087889,0.235704988,0.485542476,0.548444986,2020,0.522876322,48.8,33.2,62.4,65,51.6,76.6,35,48.4,23.4,17.9 [16.6-19.1],30.9 [29.1-32.7],6.9 [6.1-7.7],6.7,9.9,3.2,10,2.8,70.4,44.7,33.9,24.8,4,9 [7.2-10.7],14.8 [12-17.8],3.5 [2.7-4],24.2 [26.1-],31.1 [33.6-],11.7 [12.6-]
Saba,,,Americas,,,736,38075.53,2,103.466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Barth?lemy,,,Americas,,,5348,54102.175,5,50.582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Helena,,,Africa,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Kitts and Nevis,,,Americas,,KN,6556,12325.162,46,86.479,parliamentary democracy,Basseterre,17 18 N,62 43 W,2.1,"$28,200 ",5,4.5,unknown,31.9,1.7,62.9,0,6.5,9.09,unknown,35.5,0.7,13,7.2,1.2,unknown,8.2,76.2,1.77,22.9,2.6,unknown,,,,,,,,,,,,,,,,,22.8,12.5,33,45.2,31.4,58.7,54.8,68.6,41.3,28.7 [26.2-31.1],44.7 [41.6-47.7],12.7 [11-14.6],No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,8.9 [7.7-10.3],14.1 [12.3-16.4],4 [3.3-4.4],16.1 [16.9-],21.4 [22.4-],7.7 [8.1-]
Saint Lucia,,St. Lucia,Americas,North America,LC,29711,16180.082,408,222.19,parliamentary democracy,Castries,14 00 N,61 00 W,3,"$14,400 ",6,20,unknown,23.6,0.3,70.7,0.1,6.5,8.34,unknown,35.5,0.31,13.1,7.8,-2.2,117,10.6,78.1,1.74,19.7,3.8,46.2,2018,75.1,0.758,2.31,11000,74.4,,,,,,,,,,,26,14.5,36.9,50.3,36.1,63.7,49.7,63.9,36.3,25.4 [23.1-27.6],40.7 [37.7-43.6],10.7 [9.2-12.3],6.3,10,2.1,7.2,3.3,73.6,54,43.2,40.2,4,10.6 [11.3-15.2],17.2 [18.5-24.8],4.4 [4.5-6.1],18.9 [20.2-],24.9 [26.6-],8.9 [9.5-]
Saint Martin,,,Americas,,,12058,31190.667,46,118.989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Pierre and Miquelon,,,Americas,,,3250,56082.83,1,17.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,,St. Vincent and the Grenadines,Americas,North America,VC,9474,8539.751,116,104.561,parliamentary democracy and a Commonwealth realm,Kingstown,13 08 N,61 13 W,0.7,"$11,500 ",2.5,18.8,unknown,28.7,-0.6,73.8,2.2,6.5,8.75,unknown,34.2,-0.23,13,7.4,-8,98,11.7,75.8,1.78,23.7,5.8,unknown,2018,72.8,0.736,2.03,7210,70.1,,,,,,,,,,,29,16.9,41.3,53.4,39.7,67.2,46.6,60.3,32.8,22.8 [20.8-24.9],36.6 [33.7-39.4],8.7 [7.5-10.1],4.4,7.2,0.7,5.1,1.3,69.5,44,37.1,22.3,3,9.1 [8.5-11.9],14.4 [13.5-18.9],3.7 [3.5-4.9],16.8 [18-],21.7 [23.3-],7.8 [8.3-]
Samoa,,,Western Pacific,Oceania,WS,15967,8047.315,29,14.616,parliamentary democracy,Apia,13 49 S,171 46 W,2.5,"$5,700 ",-1.8,5.2,unknown,28.2,-4.7,49.1,1.3,unknown,8.76,unknown,24.8,0.61,20.2,5.4,-8.8,43,18,74.2,2.64,47.3,4.1,31.9,2018,70.4,0.709,1.32,4300,44.5,,,,,,,,,,,63.1,49.7,77.4,84,77.1,91.5,16,22.9,8.5,9.9 [9.2-10.5],16.1 [15.2-17],3.1 [2.7-3.5],2.4,3.4,1.2,3.1,0.8,40.4,19.4,17.5,15.4,1,2.7 [2.3-3.9],4.3 [3.7-6.3],0.9 [0.8-1.4],14.3 [15.6-],17.1 [18.7-],6.3 [6.9-]
San Marino,,,Europe,,SM,22167,65316.165,119,350.639,republic,San Marino,43 56 N,12 25 E,1.9,"$59,000 ",-1.1,8.1,unknown,40.6,-2.9,24.1,1,unknown,5.92,unknown,44.7,0.7,8.6,8.8,7.2,unknown,4.3,83.4,1.51,unknown,3,27.4,,,,,,,,,,,,,,,,,.,.,.,No data,No data,No data,.,.,.,.,.,.,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,.,.,.,. [.-],. [.-],. [.-]
Sao Tome and Principe,,,Africa,Africa,ST,6278,2864.587,77,35.134,republic,Sao Tome,0 20 N,6 44 E,3.9,"$3,200 ",5,12.2,30.8,26.2,-2.4,88.4,5.7,16,19.61,unknown,18.7,1.66,31.5,6.7,-8.2,130,44.1,65.7,4.11,12.4,4.9,20.8,2018,70.7,0.624,0.587,1670,62.4,,,,,,,,,,,60,48,71.8,66,No data,78.5,34,46.8,21.5,13.9 [12.6-15.2],23.9 [21.9-26],4.1 [3.6-4.8],7,10.2,3.2,4.6,1.4,64.6,39.4,31.2,17.3,5,5.9 [4.6-7.2],9.3 [7.3-11.4],2.6 [2-3.1],18.9 [20.6-],23.5 [25.6-],8.8 [9.5-]
Saudi Arabia,,,Eastern Mediterranean,Asia,SA,825549,2371.322,9461,27.176,monarchy,Riyadh,24 39 N,46 42 E,-0.9,"$54,500 ",-2.4,6,45.9,26.4,-8.9,17.2,-0.9,2.5,8.3,8.78,29.9,1.63,15.6,3.3,4.1,17,12.1,75.7,2.04,35.4,unknown,24.2,2018,74.3,0.854,18.4,20100,72.7,6.406499863,1.334328532,53,0.759818137,0.548477471,0.087440684,0.163322315,2.203118801,2020,1.309950113,93.4,91.4,96.1,94.2,92.7,96.5,5.8,7.3,3.5,0.2 [0.1-0.2],0.2 [0.2-0.3],0 [0-0],0.2,0.3,0.1,0.4,0.1,4,2.3,0.5,0.3,1,0.2 [0.1-0.5],0.3 [0.1-0.8],0 [0-0.2],3 [3.5-],3.6 [4.2-],1.3 [1.5-]
Senegal,,,Africa,Africa,SN,88873,530.778,1968,11.754,republic,Dakar,14 44 N,17 38 W,7.2,"$3,500 ",7.7,48,40.3,19.6,-3.6,48.3,1.3,0.25,5.4,1.38,19,2.36,32.9,7.9,-1.4,315,48,62.5,4.2,8.8,4.8,8.1,2018,68,0.516,0.739,1360,56.1,4.980800152,0.504061818,45,0.518391907,0.352400899,0.164397135,0.081865937,2.405123949,2020,0.95459342,74.3,64.4,83.4,78.9,69.6,87.5,21.1,30.4,12.5,6.4 [5.6-7.2],11.7 [10.4-13.1],1.5 [1.3-1.8],1.6,2.4,0.7,1.6,0.6,14.7,10.5,13.3,9.2,2,0.8 [0.4-1.4],1.4 [0.7-2.5],0.2 [0.1-0.4],3.3 [3.8-],4.1 [4.7-],1.5 [1.8-]
Serbia,,,Europe,Europe,RS,2422813,34977.857,17382,250.942,republic,Belgrade,44 50 N,20 30 E,1.9,"$15,100 ",3.9,14.1,38.7,42.7,0.2,62.5,3.1,3.5,8.2,1.39,42.8,-0.47,8.9,13.6,0,12,5.7,75.9,1.44,21.5,4,29.7,2018,75.6,0.803,5.17,6260,57.2,5.77820015,0.988181829,38,0.828403294,0.395428419,0.15028289,0.059447147,2.029040098,2020,1.327448964,17.9,9.1,26,40,26.2,53,60,73.8,47,32.9 [30-35.7],50 [46.4-53.4],15.8 [13.6-18.2],4.5,7.3,1.6,8.5,3.1,77.3,57.3,43.9,31.7,3,8.8 [7.3-9.7],13.9 [11.7-15.6],3.9 [3.1-4.2],17.6 [18.8-],24 [25.6-],8.4 [8.9-]
